iter	Passed	Remaining
188	237	1017
189	237	1013
190	238	1009
191	238	1005
192	239	1001
193	240	997
194	240	994
195	241	990
196	241	986
197	242	982
198	243	978
199	243	975
200	244	972
201	245	968
202	245	965
203	246	961
204	247	958
205	247	954
206	248	951
207	248	947
208	249	944
209	250	940
210	250	937
211	251	933
212	251	930
213	252	927
214	253	923
215	253	920
216	254	917
217	254	913
218	255	910
219	255	907
220	256	904
221	257	901
222	257	898
223	258	895
224	259	892
225	259	889
226	260	886
227	260	883
228	261	880
229	262	877
230	262	874
231	263	871
232	263	868
233	264	865
234	265	862
235	265	860
236	266	857
237	266	854
238	267	851
239	268	848
240	268	845
241	269	843
242	269	840
243	270	837
244	271	835
245	271	832
246	272	830
247	272	827
248	273	825
249	274	822
250	274	819
251	275	817
252	275	814
253	276	812
254	277	809
255	277	807
256	278	804
257	278	802
258	279	799
259	280	797
260	280	794
261	281	792
262	281	789
263	282	787
264	283	785
265	283	782
266	284	780
267	285	778
268	286	777
269	287	776
270	288	774
271	288	773
272	290	772
273	291	773
274	293	773
275	294	771
276	294	769
277	295	766
278	295	764
279	296	762
280	296	759
281	297	757
282	297	754
283	298	752
284	299	750
285	299	748
286	300	745
287	300	743
288	301	741
289	301	738
290	302	736
291	302	734
292	303	731
293	303	729
294	304	728
295	305	726
296	306	724
297	306	722
298	307	720
299	307	717
300	308	715
301	308	713
302	309	711
303	309	709
304	310	707
305	310	705
306	311	703
307	312	701
308	312	699
309	313	697
310	313	695
311	314	693
312	315	691
313	315	689
314	316	688
315	317	686
316	317	684
317	318	683
318	319	681
319	319	679
320	320	677
321	320	675
322	321	673
323	321	671
324	322	669
325	323	668
326	323	666
327	324	664
328	324	662
329	325	660
330	326	659
331	326	657
332	327	655
333	327	653
334	328	652
335	329	650
336	329	648
337	330	646
338	330	645
339	331	643
340	332	641
341	332	640
342	333	638
343	333	636
344	334	634
345	335	633
346	335	631
347	336	629
348	336	628
349	337	626
350	337	624
351	338	623
352	339	621
353	339	620
354	340	618
355	340	616
356	341	615
357	342	613
358	342	611
359	343	610
360	343	608
361	344	607
362	345	605
363	345	604
364	346	602
365	346	600
366	347	599
367	348	597
368	348	596
369	349	594
370	349	593
371	350	591
372	351	590
373	351	588
374	352	587
375	352	585
376	353	583
377	353	582
378	354	580
379	355	579
380	355	577
381	356	576
382	356	574
383	357	573
384	358	571
385	358	570
386	359	569
387	359	567
388	360	566
389	361	564
390	361	563
391	362	561
392	362	560
393	363	558
394	363	557
395	364	556
396	365	554
397	365	553
398	366	551
399	366	550
400	367	548
401	368	547
402	368	546
403	369	544
404	369	543
405	370	541
406	370	540
407	371	539
408	372	538
409	372	536
410	373	535
411	374	533
412	374	532
413	375	531
414	375	529
415	376	528
416	377	527
417	377	525
418	378	524
419	378	523
420	379	521
421	380	520
422	380	519
423	381	517
424	381	516
425	382	515
426	382	513
427	383	512
428	384	511
429	384	509
430	385	508
431	385	507
432	386	505
433	386	504
434	387	503
435	387	501
436	388	500
437	388	498
438	389	497
439	389	496
440	390	494
441	390	493
442	391	492
443	391	490
444	392	489
445	392	488
446	393	486
447	393	485
448	394	484
449	394	482
450	395	481
451	395	480
452	396	478
453	396	477
454	397	476
455	398	474
456	398	473
457	399	472
458	399	471
459	400	469
460	400	468
461	401	467
462	401	466
463	402	465
464	403	463
465	403	462
466	404	461
467	404	460
468	405	459
469	406	457
470	406	456
471	407	455
472	407	454
473	408	453
474	408	451
475	409	450
476	410	449
477	410	448
478	411	447
479	411	446
480	412	444
481	412	443
482	413	442
483	414	441
484	414	440
485	415	439
486	415	438
487	416	437
488	417	435
489	417	434
490	418	433
491	418	432
492	419	431
493	420	430
494	420	429
495	421	428
496	421	427
497	422	425
498	423	424
